document_id,filename,source,document_type
001,acst_5351_syllabus.pdf,https://ucmo.brightspace.com/d2l/home/28160,syllabus
002,lindenwood_student_handbook.pdf,https://www.lindenwood.edu/files/resources/student-handbook.pdf,handbook
003,mizzou_student_handbook.pdf,https://resources-mizzouk12online.missouri.edu/static/handbooks/StudentHandbook.pdf,handbook
004,northwestern_student_handbook.pdf,https://www.northwestern.edu/communitystandards/student-handbook/student-handbook.pdf,handbook
005,ucm_academic_honesty.pdf,https://www.ucmo.edu/offices/general-counsel/university-policy-library/academic-policies/academic-honesty-policy/index.php,policy
006,ucm_crisis_management.pdf,https://www.ucmo.edu/academics/programs/majors/hcbps/cdm/crisis-and-disaster-management-bs/cdm-student-handbook.pdf,handbook
007,ucm_mulekicker_handbook.pdf,https://ucmathletics.com/documents/2025/3/24/2025-2026_Mulekicker_Handbook.pdf,handbook
008,ucm_rso_handbook,https://drive.google.com/file/d/1awwnc-ukcOpdiNtmEDHRjjccnvS31-1o/viewt,policy
009,ucm_student_handbook,https://www.ucmo.edu/offices/general-counsel/university-policy-library/policies/ucm-student-handbook/index.php,handbook
010,umkc_student_handbook,https://www.umkc.edu/get-involved/docs/umkc-student-handbook.pdf,handbook
